"transaction","modo","consorcio","id_servico_jae","servico","descricao_servico","nome_completo_servico","latitude_servico","longitude_servico","sentido","cadastro_cliente","produto","tipo_transacao","tipo_usuario","meio_pagamento","quantidade_passageiros"
"7KY05LRHKL","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","9"
"VYDEVA5V4I","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","11"
"30VWPAT0S6","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"5KU8O1E1II","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"IHE5QTGZTW","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"LDE74RWA5W","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"J94QM29M2D","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"EEQV3HP63V","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"30VWPAT0S6","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"5KU8O1E1II","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"DO3I3HOICA","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"XREEPCV17K","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"SFEH7M95A8","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","6"
"LLL69NHRIM","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"TC35A8VT95","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"2AIL0QVHZG","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","4"
"ZOJM10FTJR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"SZSO0YCQLK","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"XVYG0AEKVD","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"1C1PZT4AM9","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"LCL9DPLRX7","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"NYSL3ETZ93","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"O7S0Z0QNKS","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","2"
"IUDI4YFWD8","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","2"
"NYSL3ETZ93","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"B2L45DR8YG","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","3"
"K7GROQBGWJ","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"O7S0Z0QNKS","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"LCL9DPLRX7","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","5"
"0FSDVYQFCW","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"ZOJM10FTJR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","3"
"Y8YJ9PSV5K","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"NYSL3ETZ93","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"IUDI4YFWD8","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"1C1PZT4AM9","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"HIXUA7C5SB","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"M1QHW6KFBN","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"O7S0Z0QNKS","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"NCWDWRSZIA","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"SZSO0YCQLK","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"NCWDWRSZIA","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","2"
"B0M7PSI4U8","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"LCL9DPLRX7","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","8"
"K7GROQBGWJ","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","3"
"QX2HHIP0B0","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","5"
"0FSDVYQFCW","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","8"
"B2L45DR8YG","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","6"
"HIXUA7C5SB","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"IUDI4YFWD8","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"Y8YJ9PSV5K","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","5"
"XVYG0AEKVD","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","11"
"LCL9DPLRX7","BRT","MobiRio","1","TOTAL","Terminal Alvorada - Arquiteto Jaime Lerner","TOTAL - Terminal Alvorada - Arquiteto Jaime Lerner","-23001199","-433657","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"XSC8M3U2MH","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","2"
"SZSO0YCQLK","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","3"
"ZOJM10FTJR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","13"
"NCWDWRSZIA","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","7"
"NYSL3ETZ93","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","9"
"1C1PZT4AM9","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","3"
"O7S0Z0QNKS","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"M1QHW6KFBN","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"2R07L5SWQR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","14"
"8TUHDQ6W9M","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"MC61UVSQQR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"J2SSECDJIB","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"5UJI7L6PKP","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"UJJBS9VNBO","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"DV10W2KQPX","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"K8HBTKTOK4","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"UJJBS9VNBO","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"SNJA03AN2P","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"63Z2A7RCSY","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"DV10W2KQPX","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"DV10W2KQPX","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"MC61UVSQQR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","1"
"7NT5KTIXB1","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","2"
"87K0X0AX6L","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","2"
"CZ4G4K8LT6","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","3"
"Y0H2MCB6H1","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"MC61UVSQQR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"CZ4G4K8LT6","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","4"
"SO38YILS90","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Ṇo Cadastrado","Carṭo Avulso","Integral","Pagante","Carṭo","4"
"SNJA03AN2P","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","5"
"OJGR3PIUJP","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","7"
"63Z2A7RCSY","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","7"
"QQPI1LPAEJ","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","7"
"HXUBFI7AZR","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","8"
"OJFCK547Q7","BRT","MobiRio","46","TOOUT","31 de Outubro","TOOUT - 31 de Outubro","-22918294","-43639125","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"IPGMI5Q28K","BRT","MobiRio","46","TOOUT","31 de Outubro","TOOUT - 31 de Outubro","-22918294","-43639125","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"9KLI58GV46","BRT","MobiRio","97","TCACA","Aracy Cabral","TCACA - Aracy Cabral","-22920144","-43368184","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"Y99J6JEFR0","BRT","MobiRio","97","TCACA","Aracy Cabral","TCACA - Aracy Cabral","-22920144","-43368184","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","2"
"IPGMI5Q28K","BRT","MobiRio","97","TCACA","Aracy Cabral","TCACA - Aracy Cabral","-22920144","-43368184","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"RNYO5OZPOM","BRT","MobiRio","105","TCAPA","Arroio Pavuna","TCAPA - Arroio Pavuna","-2295527","-4337735","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"7N0REMSYHK","BRT","MobiRio","118","TLASA","Asa Branca","TLASA - Asa Branca","-2296325","-4339379","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"WQM3UQ690D","BRT","MobiRio","118","TLASA","Asa Branca","TLASA - Asa Branca","-2296325","-4339379","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","2"
"IBAS2MTUFY","BRT","MobiRio","118","TLASA","Asa Branca","TLASA - Asa Branca","-2296325","-4339379","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"OI1IPWAAWK","BRT","MobiRio","118","TLASA","Asa Branca","TLASA - Asa Branca","-2296325","-4339379","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"PFD3SJ2QE6","BRT","MobiRio","61","TOBSP","Barra Shopping - Parador","TOBSP - Barra Shopping - Parador","-2299998","-4336127","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","3"
"A7TYCNAQD4","BRT","MobiRio","61","TOBSP","Barra Shopping - Parador","TOBSP - Barra Shopping - Parador","-2299998","-4336127","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"PFD3SJ2QE6","BRT","MobiRio","61","TOBSP","Barra Shopping - Parador","TOBSP - Barra Shopping - Parador","-2299998","-4336127","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"IBAS2MTUFY","BRT","MobiRio","62","TOBMP","Bosque Marapendi","TOBMP - Bosque Marapendi","-230035","-4332349","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"9KLI58GV46","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"3JNXFRD2PX","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"I7L3477ZNM","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"IPGMI5Q28K","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"Y99J6JEFR0","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"9I4HKW2FL2","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"IBAS2MTUFY","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","2"
"SLGENCBQYV","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"RNYO5OZPOM","BRT","MobiRio","33","TOCAJ","Cajueiros","TOCAJ - Cajueiros","-2293082","-4367352","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"QXMUV0WFRQ","BRT","MobiRio","91","TCCAM","Campinho","TCCAM - Campinho","-2288219","-433419","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"LMQ4KCG4T6","BRT","MobiRio","111","TCCME","Centro Metropolitano","TCCME - Centro Metropolitano","-2297338","-433656","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"OJFCK547Q7","BRT","MobiRio","111","TCCME","Centro Metropolitano","TCCME - Centro Metropolitano","-2297338","-433656","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"K3O082EWOJ","BRT","MobiRio","111","TCCME","Centro Metropolitano","TCCME - Centro Metropolitano","-2297338","-433656","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"7N0REMSYHK","BRT","MobiRio","42","TOIII","Cesaṛo III","TOIII - Cesaṛo III","-2293174","-43657286","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"3JNXFRD2PX","BRT","MobiRio","50","TOCOS","Cosmos","TOCOS - Cosmos","-22915654","-43616114","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","3"
"EOQ9EUXH96","BRT","MobiRio","50","TOCOS","Cosmos","TOCOS - Cosmos","-22915654","-43616114","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"RNYO5OZPOM","BRT","MobiRio","107","TCCUR","Curicica","TCCUR - Curicica","-2295985","-4338868","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"OJFCK547Q7","BRT","MobiRio","107","TCCUR","Curicica","TCCUR - Curicica","-2295985","-4338868","0","Cadastrado","Carteira","Integral","Pagante","QRCode","2"
"ZLY1SX5JZO","BRT","MobiRio","107","TCCUR","Curicica","TCCUR - Curicica","-2295985","-4338868","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
"OI1IPWAAWK","BRT","MobiRio","58","TOCMG","C̢ndido Magalḥes","TOCMG - C̢ndido Magalḥes","-2290769","-4356407","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
